# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.008445104644224330e+03 2.643154506168519546e+00 0.000000000000000000e+00 2.643154506168519546e+00 0.000000000000000000e+00 3.232323742500093494e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.821844553244627574e-06
3.000000000000000000e+00 9.546704637315503987e+02 3.000581242878874288e+00 0.000000000000000000e+00 3.000581242878874288e+00 0.000000000000000000e+00 4.265159751143885597e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.644525097638135445e-06
4.000000000000000000e+00 9.035052616071184275e+02 2.844414542253301814e+00 0.000000000000000000e+00 2.844414542253301814e+00 0.000000000000000000e+00 3.811701234958116136e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.076044631240333471e-06
5.000000000000000000e+00 8.651491424005281488e+02 2.445353751895677608e+00 0.000000000000000000e+00 2.445353751895677608e+00 0.000000000000000000e+00 2.625949986762446051e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.117458371826627319e-06
6.000000000000000000e+00 8.389420186710027565e+02 1.985691895020743836e+00 0.000000000000000000e+00 1.985691895020743836e+00 0.000000000000000000e+00 1.506072305268650255e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.277003593892625451e-05
7.000000000000000000e+00 8.222699373580003339e+02 1.567218000042170045e+00 0.000000000000000000e+00 1.567218000042170045e+00 0.000000000000000000e+00 8.130427325176443898e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.703523102980097445e-05
8.000000000000000000e+00 8.121562347990010267e+02 1.236886768004936465e+00 0.000000000000000000e+00 1.236886768004936465e+00 0.000000000000000000e+00 5.081068521763603893e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.191464748304805025e-05
9.000000000000000000e+00 8.081037645217712679e+02 1.008889964423252517e+00 0.000000000000000000e+00 1.008889964423252517e+00 0.000000000000000000e+00 4.011448846001708715e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.741000298512888481e-05
1.000000000000000000e+01 8.073856694138864896e+02 8.750363574865147598e-01 0.000000000000000000e+00 8.750363574865147598e-01 0.000000000000000000e+00 3.460378351843518361e-03 0.000000000000000000e+00 0.000000000000000000e+00 3.352309162423999854e-05
1.100000000000000000e+01 8.093130873077715250e+02 8.191026161129940641e-01 0.000000000000000000e+00 8.191026161129940641e-01 0.000000000000000000e+00 2.939413715787924253e-03 0.000000000000000000e+00 0.000000000000000000e+00 4.025574658340020436e-05
1.200000000000000000e+01 8.143693344312630416e+02 8.195579120949135765e-01 0.000000000000000000e+00 8.195579120949135765e-01 0.000000000000000000e+00 2.534643960107727748e-03 0.000000000000000000e+00 0.000000000000000000e+00 4.760980426602098723e-05
1.300000000000000000e+01 8.211069479226964631e+02 8.546690678597461677e-01 0.000000000000000000e+00 8.546690678597461677e-01 0.000000000000000000e+00 2.376407311983258323e-03 0.000000000000000000e+00 0.000000000000000000e+00 5.558707103017064522e-05
1.400000000000000000e+01 8.287873002806359182e+02 9.073069447365700313e-01 0.000000000000000000e+00 9.073069447365700313e-01 0.000000000000000000e+00 2.436940883521840177e-03 0.000000000000000000e+00 0.000000000000000000e+00 6.418929360326505046e-05
